,ref_image,insp_image,ref_y,insp_y,binary_y,material_id,ref_y_raw,insp_y_raw,confidence,defect_dir,lighting_type,ref_defect_label,insp_defect_label,cad_hash,panel_id,position_id,p_angle,adamtask_id,ref_uuid,insp_uuid,ref_xy,insp_xy,datasplit,device,model_predict_binary,model_predict_binary_score,model_predict_defect,model_predict_defect_score,model_predict_confidence,data_source,ref_p_angle,package_type,feature_set_name,rotate_angel,ref_image_name,insp_image_name,old_insp_y_raw,x1,y1,x3,y3,ref_material_id,index.1,insp_material_id,insp_cad_hash
0,body/BZV55-C5V1CAD_MECU3/2023-01-06-L190W186-165739793_4091_13963_ok_white.png,body/BZV55-C5V1CAD_MECU3/2023-01-06-L190W186-165739793_16362_14046_ok_white.png,0,0.0,False,BZV55-C5V1,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,body/100303117-1M-0204-FCADL275W97/2022-11-08-L275W97.4-103520437_4705_5781_ok_white.png,body/100303117-1M-0204-FCADL275W97/2022-11-08-L275W97.4-103520437_4705_5781_ok_white.png,0,0.0,False,100303117-1M-0204-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,body/100303117-1M-0204-FCADL275W97/2022-11-08-L275W97.4-103520437_16019_5772_ok_white.png,body/100303117-1M-0204-FCADL275W97/2022-11-08-L275W97.4-103520437_16019_5772_ok_white.png,0,0.0,False,100303117-1M-0204-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,body/100683522-1.8R-0204-FCADL232W98_FDO183S/2022-11-04-L232W98-150421299_15672_7301_ok_white.png,body/100683522-1.8R-0204-FCADL232W98_FDO183S/2022-11-04-L232W98-150421299_15672_7301_ok_white.png,0,0.0,False,100683522-1.8R-0204-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,body/100683522-1.8R-0204-FCADL232W98_FDO183S/2022-11-04-L232W98-150421299_19644_7318_ok_white.png,body/100683522-1.8R-0204-FCADL232W98_FDO183S/2022-11-04-L232W98-150421299_19644_7318_ok_white.png,0,0.0,False,100683522-1.8R-0204-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,body/100892920-90.9K-0204-FCADL232W98_FDO183S/2022-11-04-L232W98-150421299_22595_5369_ok_white.png,body/100892920-90.9K-0204-FCADL232W98_FDO183S/2022-11-04-L232W98-150421299_22595_5369_ok_white.png,0,0.0,False,100892920-90.9K-0204-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,body/100892920-90.9K-0204-FCADL232W98_FDO183S/2022-11-04-L232W98-150421299_6707_5336_ok_white.png,body/100892920-90.9K-0204-FCADL232W98_FDO183S/2022-11-04-L232W98-150421299_6707_5336_ok_white.png,0,0.0,False,100892920-90.9K-0204-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,body/101581949-86.6K-0204-FCADL275W97/2022-11-08-L275W97.4-103520437_10366_5976_ok_white.png,body/101581949-86.6K-0204-FCADL275W97/2022-11-08-L275W97.4-103520437_10366_5976_ok_white.png,0,0.0,False,101581949-86.6K-0204-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,body/101581949-86.6K-0204-FCADL275W97/2022-11-08-L275W97.4-103520437_16024_5969_ok_white.png,body/101581949-86.6K-0204-FCADL275W97/2022-11-08-L275W97.4-103520437_16024_5969_ok_white.png,0,0.0,False,101581949-86.6K-0204-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,body/103026537-1.5R-0201-FCADL275W97/2022-11-08-L275W97.4-103520437_24796_4373_ok_white.png,body/103026537-1.5R-0201-FCADL275W97/2022-11-08-L275W97.4-103520437_24796_4373_ok_white.png,0,0.0,False,103026537-1.5R-0201-F,0,0.0,certain,SEHUAN_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
